source,target,type,value,attribute,cluster,notes,notesPosition,aandachtspunt
Import elektriciteit (groen),Elektriciteit,elektriciteit,8,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
,,,,,,,,
Elektriciteit,Elektrificatie,elektriciteit,20,,Chemelot,,,
Elektriciteit,CCS,elektriciteit,10,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Elektriciteit,Groene waterstof productie,elektriciteit,8,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Gas,Blauwe waterstof productie,gas,24,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
,,,,,,,,
Groene waterstof productie,Groene waterstof,groene waterstof,6,,Chemelot,,,
Groene waterstof productie,Conversie verlies,warmte,2,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Blauwe waterstof productie,Blauwe waterstof,blauwe waterstof,19.2,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,ja
Blauwe waterstof productie,Conversie verlies,warmte,4.8,,Chemelot,,,
Elektrificatie,Elektriciteit ,elektriciteit,20,,Chemelot,,,
CCS,Elektriciteit ,elektriciteit,10,,Chemelot,,,
,,,,,,,,
Groene waterstof,Toepassing en afnemer onbekend,groene waterstof,6,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Blauwe waterstof,Industriële processen BESTEMMING,blauwe waterstof,19.2,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Elektriciteit ,Industriële processen,elektriciteit,30,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,
Conversie verlies,Warmtenetten gebouwde omgeving,warmte,2,,Chemelot,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Conversie verlies,Verlies,warmte,4.8,,Chemelot,,,
,,,,,,,,
,,,DUMMY DATA,Versie,Chemelot-attributes,,,
,,,CES Chemelot - DUMMYDATA,Titel,Chemelot-attributes,,,
,,,"Dit overzicht weergeeft de balans tussen productie, substitutie en reductie van opwek en verbruik van energie en CO2-emissies voor zichtjaar 2030. Dit overzicht is gebaseerd op een dummydataset, op willekeurige cijfers. Upload het bestand ‘CES.csv’ om de werkelijke data en diagrammen voor het cluster te tonen.",Subtitel,Chemelot-attributes,,,
,,,TWh,Eenheid_Energie,Chemelot-attributes,,,
,,,Mton,Eenheid_CO2,Chemelot-attributes,,,
,,,2,besparing_gas,Chemelot-attributes-energiebesparing,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,besparing_elektriciteit,Chemelot-attributes-energiebesparing,,,
,,,0,besparing_overige,Chemelot-attributes-energiebesparing,,,
,,,0,besparing_onbekend,Chemelot-attributes-energiebesparing,,,
,,,-10,substitutie_gas,Chemelot-attributes-energiesubstitutie,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,Ja
,,,0,substitutie_elektriciteit,Chemelot-attributes-energiesubstitutie,,,
,,,0,substitutie_overige,Chemelot-attributes-energiesubstitutie,,,
,,,0,substitutie_onbekend,Chemelot-attributes-energiesubstitutie,,,
,,,0.3,co2_energie_efficientie_scope1,Chemelot-attributes-co2balans,,,
,,,3,co2_CCS_blauweH2_scope1,Chemelot-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,ja
,,,2,co2_CCS_overige_scope1,Chemelot-attributes-co2balans,,,
,,,0,co2_circulair_scope1,Chemelot-attributes-co2balans,,,
,,,0,co2_overigebroeikasgassen_scope1,Chemelot-attributes-co2balans,,,
,,,0,co2_restwarmte_scope1,Chemelot-attributes-co2balans,,,
,,,4,co2_elektrificatie_scope1,Chemelot-attributes-co2balans,,,
,,,-0.9,co2_CCS_blauweH2_scope2,Chemelot-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0.4,co2_CCS_overige_scope2,Chemelot-attributes-co2balans,,,
,,,0.00,co2_groeneH2_scope2,Chemelot-attributes-co2balans,,,
,,,-1,co2_elektrificatie_scope2,Chemelot-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,co2_circulair_scope3,Chemelot-attributes-co2balans,,,
,,,3,co2_groenewaterstof_scope3,Chemelot-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,ja
,,,0.7,co2_restwarmte_scope3,Chemelot-attributes-co2balans,,,
,,,0,co2_elektrificatie_scope3,Chemelot-attributes-co2balans,,,
,,,0,co2_nieuwebedrijven,Chemelot-attributes-co2balans,,,
,,,,,,,,
------------------------------------,,,,,,,,
ZEELAND,,,,,,,,
------------------------------------,,,,,,,,
Bruto mutatie,Aardgas,gas,5,,Zeeland,,,
Bruto mutatie,Restgassen,gas,9,,Zeeland,,,
Bruto mutatie,"Gas, type onbekend",gas,10,,Zeeland,,,
Bruto mutatie,Import elektriciteit (net),elektriciteit,30,,Zeeland,,,
Bruto mutatie,Import elektriciteit (groen),elektriciteit,8,,Zeeland,,,
,,,,,,,,
Aardgas,Gas,gas,5,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Restgassen,Gas,gas,9,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
"Gas, type onbekend",Gas,gas,10,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Import elektriciteit (net),Elektriciteit,elektriciteit,30,,Zeeland,,,
Import elektriciteit (groen),Elektriciteit,elektriciteit,8,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
,,,,,,,,
Elektriciteit,Elektrificatie,elektriciteit,20,,Zeeland,,,
Elektriciteit,CCS,elektriciteit,10,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Elektriciteit,Groene waterstof productie,elektriciteit,8,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Gas,Blauwe waterstof productie,gas,24,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
,,,,,,,,
Groene waterstof productie,Groene waterstof,groene waterstof,6,,Zeeland,,,
Groene waterstof productie,Conversie verlies,warmte,2,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Blauwe waterstof productie,Blauwe waterstof,blauwe waterstof,19.2,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,ja
Blauwe waterstof productie,Conversie verlies,warmte,4.8,,Zeeland,,,
Elektrificatie,Elektriciteit ,elektriciteit,20,,Zeeland,,,
CCS,Elektriciteit ,elektriciteit,10,,Zeeland,,,
,,,,,,,,
Groene waterstof,Toepassing en afnemer onbekend,groene waterstof,6,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Blauwe waterstof,Industriële processen BESTEMMING,blauwe waterstof,19.2,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Elektriciteit ,Industriële processen,elektriciteit,30,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,
Conversie verlies,Warmtenetten gebouwde omgeving,warmte,2,,Zeeland,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Conversie verlies,Verlies,warmte,4.8,,Zeeland,,,
,,,,,,,,
,,,DUMMY DATA,Versie,Zeeland-attributes,,,
,,,CES Zeeland - DUMMYDATA,Titel,Zeeland-attributes,,,
,,,"Dit overzicht weergeeft de balans tussen productie, substitutie en reductie van opwek en verbruik van energie en CO2-emissies voor zichtjaar 2030. Dit overzicht is gebaseerd op een dummydataset, op willekeurige cijfers. Upload het bestand ‘CES.csv’ om de werkelijke data en diagrammen voor het cluster te tonen.",Subtitel,Zeeland-attributes,,,
,,,TWh,Eenheid_Energie,Zeeland-attributes,,,
,,,Mton,Eenheid_CO2,Zeeland-attributes,,,
,,,2,besparing_gas,Zeeland-attributes-energiebesparing,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,besparing_elektriciteit,Zeeland-attributes-energiebesparing,,,
,,,0,besparing_overige,Zeeland-attributes-energiebesparing,,,
,,,0,besparing_onbekend,Zeeland-attributes-energiebesparing,,,
,,,-10,substitutie_gas,Zeeland-attributes-energiesubstitutie,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,Ja
,,,0,substitutie_elektriciteit,Zeeland-attributes-energiesubstitutie,,,
,,,0,substitutie_overige,Zeeland-attributes-energiesubstitutie,,,
,,,0,substitutie_onbekend,Zeeland-attributes-energiesubstitutie,,,
,,,0.3,co2_energie_efficientie_scope1,Zeeland-attributes-co2balans,,,
,,,3,co2_CCS_blauweH2_scope1,Zeeland-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,ja
,,,2,co2_CCS_overige_scope1,Zeeland-attributes-co2balans,,,
,,,0,co2_circulair_scope1,Zeeland-attributes-co2balans,,,
,,,0,co2_overigebroeikasgassen_scope1,Zeeland-attributes-co2balans,,,
,,,0,co2_restwarmte_scope1,Zeeland-attributes-co2balans,,,
,,,4,co2_elektrificatie_scope1,Zeeland-attributes-co2balans,,,
,,,-0.9,co2_CCS_blauweH2_scope2,Zeeland-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0.4,co2_CCS_overige_scope2,Zeeland-attributes-co2balans,,,
,,,0.00,co2_groeneH2_scope2,Zeeland-attributes-co2balans,,,
,,,-1,co2_elektrificatie_scope2,Zeeland-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,co2_circulair_scope3,Zeeland-attributes-co2balans,,,
,,,3,co2_groenewaterstof_scope3,Zeeland-attributes-co2balans,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,ja
,,,0.7,co2_restwarmte_scope3,Zeeland-attributes-co2balans,,,
,,,0,co2_elektrificatie_scope3,Zeeland-attributes-co2balans,,,
,,,0,co2_nieuwebedrijven,Zeeland-attributes-co2balans,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
------------------------------------,,,,,,,,
NZKG,,,,,,,,
------------------------------------,,,,,,,,
Bruto mutatie,Aardgas,gas,5,,Noordzee-Kanaal-Gebied,,,
Bruto mutatie,Restgassen,gas,9,,Noordzee-Kanaal-Gebied,,,
Bruto mutatie,"Gas, type onbekend",gas,10,,Noordzee-Kanaal-Gebied,,,
Bruto mutatie,Import elektriciteit (net),elektriciteit,30,,Noordzee-Kanaal-Gebied,,,
Bruto mutatie,Import elektriciteit (groen),elektriciteit,8,,Noordzee-Kanaal-Gebied,,,
,,,,,,,,
Aardgas,Gas,gas,5,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
Restgassen,Gas,gas,9,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
"Gas, type onbekend",Gas,gas,10,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
Import elektriciteit (net),Elektriciteit,elektriciteit,30,,Noordzee-Kanaal-Gebied,,,
Import elektriciteit (groen),Elektriciteit,elektriciteit,8,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,,,,,,
Elektriciteit,Elektrificatie,elektriciteit,20,,Noordzee-Kanaal-Gebied,,,
Elektriciteit,CCS,elektriciteit,10,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
Elektriciteit,Groene waterstof productie,elektriciteit,8,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
Gas,Blauwe waterstof productie,gas,24,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,,,,,,
Groene waterstof productie,Groene waterstof,groene waterstof,6,,Noordzee-Kanaal-Gebied,,,
Groene waterstof productie,Conversie verlies,warmte,2,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",source,
Blauwe waterstof productie,Blauwe waterstof,blauwe waterstof,19.2,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
Blauwe waterstof productie,Conversie verlies,warmte,4.8,,Noordzee-Kanaal-Gebied,,source,
Elektrificatie,Elektriciteit ,elektriciteit,20,,Noordzee-Kanaal-Gebied,,target,ja
CCS,Elektriciteit ,elektriciteit,10,,Noordzee-Kanaal-Gebied,,source,
,,,,,,,,
Groene waterstof,Toepassing en afnemer onbekend,groene waterstof,6,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
Blauwe waterstof,Industriële processen BESTEMMING,blauwe waterstof,19.2,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
Elektriciteit ,Industriële processen,elektriciteit,30,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Conversie verlies,Warmtenetten gebouwde omgeving,warmte,2,,Noordzee-Kanaal-Gebied,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",target,ja
Conversie verlies,Verlies,warmte,4.8,,Noordzee-Kanaal-Gebied,,,
,,,,,,,,
,,,DUMMY DATA,Versie,Noordzee-Kanaal-Gebied-attributes,,target,
,,,CES Noordzee-Kanaal-Gebied - DUMMYDATA,Titel,Noordzee-Kanaal-Gebied-attributes,,,
,,,"Dit overzicht weergeeft de balans tussen productie, substitutie en reductie van opwek en verbruik van energie en CO2-emissies voor zichtjaar 2030. Dit overzicht is gebaseerd op een dummydataset, op willekeurige cijfers. Upload het bestand ‘CES.csv’ om de werkelijke data en diagrammen voor het cluster te tonen.",Subtitel,Noordzee-Kanaal-Gebied-attributes,,,
,,,TWh,Eenheid_Energie,Noordzee-Kanaal-Gebied-attributes,,,
,,,Mton,Eenheid_CO2,Noordzee-Kanaal-Gebied-attributes,,,
,,,2,besparing_gas,Noordzee-Kanaal-Gebied-attributes-energiebesparing,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,besparing_elektriciteit,Noordzee-Kanaal-Gebied-attributes-energiebesparing,,,
,,,0,besparing_overige,Noordzee-Kanaal-Gebied-attributes-energiebesparing,,,
,,,0,besparing_onbekend,Noordzee-Kanaal-Gebied-attributes-energiebesparing,,,
,,,-10,substitutie_gas,Noordzee-Kanaal-Gebied-attributes-energiesubstitutie,"Voetnoot met tekst, toelichting, bronvermelding of aandachtspunten.",,
,,,0,substitutie_elektriciteit,Noordzee-Kanaal-Gebied-attributes-energiesubstitutie,,,
,,,0,substitutie_overige,Noordzee-Kanaal-Gebied-attributes-energiesubstitutie,,,
,,,0,substitutie_onbekend,Noordzee-Kanaal-Gebied-attributes-energiesubstitutie,,,ja
,,,0.3,co2_energie_efficientie_scope1,Noordzee-Kanaal-Gebied-attributes-co2balans,,,
